Z,N,BindingEnergy
46,72,991.898122
46,73,996.522914
46,74,1003.336719
46,75,1007.542338
46,76,1014.104639
46,77,1018.021496
47,47,775.234499
47,48,790.10573
47,49,802.648225
47,50,816.941929
47,51,827.099798
47,52,839.046137
47,53,848.542645
47,54,859.659953
47,55,868.47647
47,56,879.368357
47,57,887.760113
47,58,897.787572
47,59,905.730348
47,60,915.26691
47,61,922.536215
47,62,931.723467
47,63,938.533545
47,64,947.364035
47,65,953.843432
47,66,962.322749
47,67,968.30566
47,68,976.421693
47,69,982.071129
47,70,989.844373
47,71,995.21436
47,72,1002.270353
47,73,1007.435412
47,74,1014.51935
47,75,1019.358386
47,76,1025.957946
47,77,1030.647943
47,78,1036.846961
47,79,1041.229565
47,80,1047.08393
48,48,793.398603
48,49,805.969043
48,50,820.896164
48,51,831.361426
48,52,843.885291
48,53,853.400429
48,54,865.104579
48,55,874.443664
48,56,885.841352
48,57,894.266642
48,58,905.141762
48,59,913.06777
48,60,923.403555
48,61,930.726886
48,62,940.642567
48,63,947.618451
48,64,957.016966
48,65,963.55719
48,66,972.599874
48,67,978.740301
48,68,987.441313
48,69,993.218364
48,70,1001.57286
48,71,1006.844109
48,72,1014.979704
48,73,1020.136379
48,74,1027.723324
48,75,1032.534415
48,76,1040.000265
48,77,1044.718207
48,78,1051.764885
48,79,1056.035709
48,80,1062.868143
48,81,1066.74774
48,82,1073.216891
49,49,806.458118
49,50,821.636742
49,51,832.931035
49,52,845.277916
49,53,855.072502
49,54,867.611271
49,55,877.148765
49,56,888.635876
49,57,897.836169
49,58,908.859396
49,59,917.463533
49,60,927.925069
49,61,935.982418
49,62,945.970756
49,63,953.648987
49,64,963.091468
49,65,970.36543
49,66,979.404575
49,67,986.188571
49,68,994.952924
49,69,1001.311228
49,70,1009.85668
49,71,1015.958823
49,72,1024.13354
49,73,1029.940399
49,74,1037.863613
49,75,1043.381708
49,76,1051.061802
49,77,1056.46905
49,78,1063.720656
49,79,1069.155849
49,80,1075.839244
49,81,1080.939098
49,82,1087.22195
49,83,1089.564581
49,84,1092.587203
49,85,1094.77148
50,50,824.883041
50,51,835.646382
50,52,848.906127
50,53,859.175776
50,54,871.84868
50,55,881.596691
50,56,893.869053
50,57,903.067482
50,58,914.585333
50,59,923.292866
50,60,934.562939
50,61,942.744177
50,62,953.529873
50,63,961.273309
50,64,971.571834
50,65,979.117793
50,66,988.681368
50,67,995.625582
50,68,1004.952558
50,69,1011.437544
50,70,1020.54506
50,71,1026.715854
50,72,1035.52939
50,73,1041.475228
50,74,1049.963207
50,75,1055.696198
50,76,1063.889452
50,77,1069.448534
50,78,1077.34846
50,79,1082.713791
50,80,1090.4032
50,81,1095.614833
50,82,1102.918604
50,83,1105.33948
50,84,1109.079353
50,85,1111.310204
50,86,1115.087337
50,87,1117.150519
51,52,847.22482
51,53,858.863766
51,54,871.369001
51,55,882.020562
51,56,894.386073
51,57,904.311068
51,58,916.130723
51,59,925.483781
51,60,936.861908
51,61,945.692398
51,62,956.574038
51,63,964.904315
51,64,975.305304
51,65,983.19219
51,66,993.086446
51,67,1000.513174
51,68,1010.061845
51,69,1017.082441
51,70,1026.32372
51,71,1033.130631
51,72,1042.095908
51,73,1048.563382
51,74,1057.276969
51,75,1063.483439
51,76,1071.866811
51,77,1077.840408
51,78,1085.927565
51,79,1091.767026
51,80,1099.462023
51,81,1105.239074
51,82,1112.54005
51,83,1115.665136
51,84,1119.432954
51,85,1122.390371
51,86,1126.130244
51,87,1128.938622
51,88,1132.585345
52,54,872.910665
52,55,883.459761
52,56,896.700877
52,57,906.663132
52,58,919.438501
52,59,928.71145
52,60,940.564639
52,61,949.688549
52,62,961.364754
52,63,969.883193
52,64,980.898037
52,65,988.770019
52,66,999.457909
52,67,1006.986169
52,68,1017.281899
52,69,1024.505561
52,70,1034.330793
52,71,1041.260196
52,72,1050.685445
52,73,1057.261532
52,74,1066.375382
52,75,1072.666152
52,76,1081.441311
52,77,1087.524264
52,78,1095.94322
52,79,1101.872942
52,80,1109.942308
52,81,1115.763139
52,82,1123.275564
52,83,1126.773248
52,84,1131.444615
52,85,1134.653536
52,86,1139.092029
52,87,1142.030817
52,88,1146.404105
52,89,1149.175224
52,90,1153.418103
53,55,883.063917
53,56,895.88586
53,57,906.733035
53,58,919.396624
53,59,929.619698
53,60,941.72439
53,61,951.463087
53,62,963.195182
53,63,972.365667
53,64,983.315306
53,65,991.638131
53,66,1002.690235
53,67,1010.884514
53,68,1021.454103
53,69,1029.314907
53,70,1039.243629
